proposition,satisfiable_brute,satisfiable,correct,satisfiable_2nd,correct_2nd
((¬1∧¬1)∨(¬(4∧2)∧¬(¬4∧¬1))),True,False,False,True,True
¬(¬1∧(4∧(0∨(1∨(4∧¬4))))),True,False,False,True,True
¬(4∧(0∧¬((4∧¬1)∨(3∨¬4)))),True,False,False,True,True
¬(¬(0∧¬2)∧¬((1∨¬0)∨¬(4∧2))),True,False,False,True,True
(¬(0∧¬(¬3∧(¬3∧1)))∨¬(¬1∧3)),True,False,False,True,True
(3∨((0∨¬(1∧4))∨¬(¬2∨¬4))),True,False,False,True,True
((4∨2)∨¬((4∨2)∨¬(1∨3))),True,False,False,True,True
¬(¬((4∨4)∨(¬2∨3))∧(0∨3)),True,False,False,True,True
((¬0∨¬(0∧¬(¬1∨3)))∨(3∨¬1)),True,False,False,True,True
(¬(¬3∨¬(1∨1))∨(4∨(1∨3))),True,False,False,True,True
((2∨2)∨(0∨(3∨(0∨1)))),True,False,False,True,True
(¬3∨¬(¬0∧¬(¬1∧(¬1∧(0∨3))))),True,False,False,True,True
