proposition,satisfiable_brute,satisfiable,correct,satisfiable_2nd,correct_2nd
¬(¬1∨¬((3∨4)∧(¬3∨(¬1∨¬3)))),True,True,True,,
((¬(¬0∧¬3)∧(1∧2))∨¬(¬1∧¬1)),True,True,True,,
(¬(¬2∧2)∨¬(2∧(¬3∨(¬2∧1)))),True,True,True,,
¬(¬(¬1∨¬(¬3∧¬(0∧0)))∨(¬2∨¬4)),True,True,True,,
¬(¬(¬3∨¬(¬1∧¬0))∧¬(¬3∨¬(¬4∧2))),True,True,True,,
(((¬0∧1)∨¬(¬0∨1))∨(0∧1)),True,True,True,,
¬(2∧(2∧¬(4∨(¬4∨¬(4∨¬0))))),True,True,True,,
(¬(2∧¬(¬2∧¬4))∧(¬2∧¬(¬1∧¬0))),True,True,True,,
¬(¬((1∧0)∧¬(0∧¬4))∨(¬4∧2)),True,True,True,,
((0∧3)∨¬(¬(¬2∨0)∨(¬0∨0))),True,True,True,,
(¬(¬3∧0)∨((¬2∧¬0)∧(¬0∧0))),True,True,True,,
((0∨¬3)∨(¬4∨(1∧(3∧3)))),True,True,True,,
¬(¬(1∧1)∨((¬4∨1)∧¬(¬3∧¬1))),False,False,True,,
((0∨¬(0∨¬4))∧(¬4∧(¬1∨¬3))),True,True,True,,
((¬4∧(2∧3))∧(0∧(¬3∧3))),False,False,True,,
(¬1∧¬((¬0∨¬(¬2∧3))∨¬(3∨¬1))),True,True,True,,
¬(4∧¬(¬(0∨¬(¬4∨2))∨(3∧3))),True,True,True,,
(¬(4∧(0∧0))∧¬(0∨(¬1∨¬2))),True,True,True,,
(¬(¬3∧2)∧(¬3∧(¬4∧¬(4∨¬1)))),True,False,False,True,True
¬(¬(4∧(3∨0))∧¬(3∧(1∧3))),True,True,True,,
¬((¬4∧¬(¬1∧1))∨(¬3∧¬(3∨¬2))),True,True,True,,
¬(0∨¬((¬1∧0)∨¬(3∧¬(¬3∧1)))),True,True,True,,
(4∧¬(¬(¬4∨(¬4∧¬1))∧¬(0∨0))),True,True,True,,
¬(¬2∧(¬(¬1∨¬(¬4∨2))∧(¬3∧3))),True,True,True,,
((0∨1)∧¬((¬4∧4)∨¬(¬3∧3))),False,False,True,,
((¬1∨(2∧¬(¬1∨¬4)))∧(2∧2)),True,True,True,,
((¬3∨¬(3∧¬(0∨¬4)))∨(1∧¬0)),True,True,True,,
(¬(¬2∧¬4)∨¬(¬2∧¬(¬3∨(0∨¬3)))),True,True,True,,
¬(¬(¬2∧(¬3∧4))∨(¬2∨(¬1∨0))),False,False,True,,
(¬(0∧(1∧¬2))∧(¬2∧(2∧¬4))),False,False,True,,
¬((2∨¬1)∧¬(¬1∧¬(¬1∨(2∨¬3)))),True,False,False,True,True
¬(¬(0∧(¬4∧¬1))∧¬(4∧(4∧¬3))),True,True,True,,
(¬(3∧(4∧(0∨¬3)))∧¬(4∧¬1)),True,True,True,,
¬(¬(¬2∨¬3)∧(¬(¬0∨¬1)∧(¬4∧¬0))),True,True,True,,
¬(¬(2∨¬3)∧(0∨¬(2∧¬(0∨3)))),True,True,True,,
((¬0∨4)∨¬(¬(1∧4)∧¬(¬0∨2))),True,True,True,,
(¬(¬3∨2)∨(¬2∨(¬0∨¬(¬0∧0)))),True,True,True,,
(¬(¬2∨1)∧((2∧1)∨¬(¬4∧¬3))),True,True,True,,
((¬2∧¬(¬4∨¬3))∨¬(3∨(4∨4))),True,True,True,,
(¬(2∨(0∧4))∧(¬3∨¬(¬0∧¬0))),True,True,True,,
¬(¬(¬(4∨¬3)∧¬(2∨¬3))∧(4∧2)),True,True,True,,
(1∨(¬2∧¬(¬0∨(¬1∨¬(3∨¬2))))),True,True,True,,
¬((1∧¬0)∨¬(¬(¬4∨¬4)∧¬(¬1∨4))),False,False,True,,
¬((¬3∨¬1)∨¬((3∨3)∨(2∧¬4))),True,True,True,,
¬((¬(3∧0)∨(4∧¬0))∧(1∧¬1)),True,True,True,,
¬((3∨¬2)∧((2∧1)∨(0∧0))),True,True,True,,
(¬(0∧(¬1∨1))∧¬(¬4∧(0∧¬0))),True,True,True,,
¬(¬(¬0∨4)∨(¬(3∧4)∧(1∧¬4))),True,True,True,,
¬((1∨(0∧0))∨¬(3∧¬(¬3∨3))),False,False,True,,
¬((¬3∨¬1)∧(2∧¬(¬4∨(0∨¬2)))),True,True,True,,
¬(4∨¬(¬2∧¬(¬(1∨¬0)∧(¬3∨3)))),True,True,True,,
(¬2∨¬(¬(¬4∧¬2)∨(3∧¬(4∨¬4)))),True,True,True,,
¬(¬(¬4∧¬(0∨¬2))∨¬(¬2∧¬(¬2∧¬1))),False,False,True,,
¬(¬(¬3∨4)∧¬(¬(¬4∧¬2)∧(3∨3))),True,True,True,,
¬((4∨¬(1∧¬3))∨¬(0∨¬(¬0∧3))),True,True,True,,
¬((4∧¬2)∨¬(¬1∧¬(¬1∨(¬2∨2)))),False,False,True,,
¬(¬(0∧¬0)∨¬(¬(¬2∨2)∧(0∧4))),False,False,True,,
¬(¬1∧¬(¬2∧¬((¬1∧1)∧¬(3∧¬1)))),True,True,True,,
¬((¬1∨2)∨¬(¬0∧¬(¬2∧(¬2∧¬0)))),False,False,True,,
(¬(¬2∧(2∧¬(¬4∨2)))∧¬(3∧¬3)),True,True,True,,
(¬(4∨¬(¬3∧1))∨¬(¬4∧¬(¬0∧4))),True,True,True,,
(¬(¬(2∧3)∨(¬3∨1))∧¬(4∨¬0)),True,True,True,,
(¬(¬1∨¬(¬0∨3))∨(0∨¬(¬2∧¬2))),True,True,True,,
(¬(¬4∨¬(3∧¬1))∧¬(0∨¬(0∨¬1))),True,True,True,,
¬(¬2∧(¬(2∨¬(2∨¬0))∧¬(3∨¬1))),True,True,True,,
¬((¬2∧3)∨¬((4∧¬0)∨(1∧1))),True,True,True,,
¬(4∨((3∧(0∧¬4))∧¬(0∨¬0))),True,True,True,,
(¬4∨¬(¬(4∨¬1)∨(3∨¬(¬3∨0)))),True,True,True,,
¬((¬3∧¬(1∧¬4))∧(¬4∧¬(0∧1))),True,True,True,,
¬((1∧(¬4∨(2∨¬2)))∨¬(¬3∧¬1)),True,True,True,,
¬(¬(0∧¬(¬4∧¬(4∨1)))∨(1∧¬1)),True,True,True,,
¬(¬(2∧(¬3∨(¬3∨¬0)))∧¬(¬0∧¬3)),True,True,True,,
¬(((3∧3)∧¬(¬0∧¬0))∨¬(3∨¬1)),True,True,True,,
(1∨¬((1∧4)∧¬(¬4∧(4∨¬0)))),True,True,True,,
((¬3∨(¬1∧¬(¬0∨4)))∧(¬3∧2)),True,True,True,,
((3∨(¬0∧4))∧¬(0∨¬(¬1∨¬2))),True,True,True,,
((¬(4∧2)∨(0∧4))∨(3∨¬0)),True,True,True,,
((¬4∨¬2)∧¬(¬(0∧¬4)∨¬(0∨2))),True,True,True,,
(¬(0∨(2∨¬0))∧(¬3∧(1∨¬0))),False,False,True,,
¬(2∨¬((1∧(0∧¬2))∧¬(¬4∨¬3))),True,False,False,True,True
(¬(1∨(¬3∨¬3))∧¬(¬2∧¬(0∨2))),True,True,True,,
¬(¬(3∨(3∨(3∨¬2)))∨¬(¬0∨¬1)),True,True,True,,
