proposition,satisfiable_brute,satisfiable,correct,satisfiable_2nd,correct_2nd
((¬(6∨¬(6∧(1∨¬1)))∨(5∨¬5))∧¬(0∧¬6)),True,True,True,,
¬((5∨(¬(0∨1)∧¬(¬5∨¬(2∨5))))∧¬(¬1∨1)),False,False,True,,
(¬(¬1∧((1∨¬0)∧¬(1∨¬6)))∧(¬2∧(6∨5))),True,True,True,,
(¬((¬6∨¬2)∨¬(¬0∧(¬4∨¬0)))∨¬(¬6∨(0∨5))),True,True,True,,
((¬4∨¬(¬(¬2∨¬1)∨(6∨(6∧¬5))))∧(¬6∨5)),True,True,True,,
¬(¬(1∧5)∧(¬(¬4∨(4∨2))∨¬(0∧¬(2∨4)))),True,True,True,,
¬(((¬3∧(¬6∧¬1))∧(¬5∧¬(3∧4)))∨¬(¬3∧¬1)),True,True,True,,
(¬((6∧(4∨3))∨(6∨¬(¬4∨¬3)))∧(¬2∨5)),True,True,True,,
