proposition,satisfiable_brute,satisfiable,correct,satisfiable_2nd,correct_2nd
(¬(¬3∧2)∧(¬3∧(¬4∧¬(4∨¬1)))),True,False,False,True,True
¬((2∨¬1)∧¬(¬1∧¬(¬1∨(2∨¬3)))),True,False,False,True,True
¬(2∨¬((1∧(0∧¬2))∧¬(¬4∨¬3))),True,False,False,True,True
